地名,センター,燃やすごみ,燃やさないごみ
南千住一・六丁目,荒川区,月 木,金1 金3
南千住二・五丁目,荒川区,月 木,金2 金4
南千住三・四・七丁目（大規模集合住宅は除く）,荒川区,月 木,金2 金4
荒川一丁目1から39番,荒川区,月 木,金1 金3
荒川一丁目40から58番,荒川区,月 木,火1 火3
荒川二・四丁目,荒川区,月 木,火2 火4
荒川三丁目,荒川区,月 木,火1 火3
荒川五・六丁目,荒川区,水 土,月2 月4
荒川七丁目,荒川区,月 木,火2 火4
荒川八丁目,荒川区,月 木,金1 金3
町屋一丁目,荒川区,月 木,火2 火4
町屋二から四丁目,荒川区,火 金,土2 土4
町屋五から七丁目,荒川区,火 金,土1 土3
町屋八丁目1から19番,荒川区,月 木,土1 土3
町屋八丁目20から22番,荒川区,月 木,火2 火4
東尾久一丁目2番・5から37番,荒川区,水 土,月1 月3
東尾久一丁目1・3・4番,荒川区,水 土,月2 月4
東尾久二丁目1から4番,荒川区,水 土,月2 月4
東尾久二丁目5から49番,荒川区,水 土,月1 月3
東尾久三丁目1番,荒川区,水 土,月2 月4
東尾久三丁目2から37番,荒川区,水 土,月1 月3
東尾久四・五丁目,荒川区,火 金,水1 水3
東尾久六丁目,荒川区,火 金,土2 土4
東尾久七・八丁目,荒川区,火 金,土1 土3
西尾久一丁目1から18番,荒川区,火 金,水1 水3
西尾久一丁目19から33番,荒川区,火 金,水2 水4
西尾久二丁目1から29・35から37番,荒川区,火 金,水1 水3
西尾久二丁目30から34・38番,荒川区,火 金,水2 水4
西尾久三丁目,荒川区,火 金,土1 土3
西尾久四・五丁目,荒川区,火 金,水2 水4
西尾久六丁目,荒川区,火 金,土1 土3
西尾久七・八丁目,荒川区,火 金,水2 水4
東日暮里一丁目1から18番,荒川区,月 木,金1 金3
東日暮里一丁目19から42番,荒川区,水 土,木2 木4
東日暮里二から四丁目,荒川区,水 土,木2 木4
東日暮里五丁目1から39・42から47番,荒川区,水 土,木2 木4
東日暮里五丁目40・41・48から55番,荒川区,水 土,木1 木3
東日暮里六丁目,荒川区,水 土,木1 木3
西日暮里一丁目,荒川区,月 木,火1 火3
西日暮里二丁目1から54番,荒川区,水 土,木1 木3
西日暮里二丁目55から58番,荒川区,水 土,月2 月4
西日暮里三・四丁目,荒川区,水 土,木1 木3
西日暮里五・六丁目,荒川区,水 土,月2 月4
